City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Salinopolis,BR,80.73,light rain,-0.61,-47.36,Hotel Salinópolis
303,Mancio Lima,BR,86.0,broken clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
304,Gilbues,BR,80.15,scattered clouds,-9.83,-45.34,Hotel Camapuã
313,Bonthe,SL,76.82,broken clouds,7.53,-12.51,Bonthe Holiday Village
317,Mayo,US,89.01,broken clouds,38.89,-76.51,Resorts Resource Group International
320,Sao Gabriel Da Cachoeira,BR,80.89,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
323,Paragominas,BR,79.99,overcast clouds,-2.97,-47.48,HOTEL RODA VIVA
326,Melilla,ES,77.0,thunderstorm,35.29,-2.94,Hôtel Anfora
335,Phan Thiet,VN,77.25,overcast clouds,10.93,108.1,Hotel Saigon-PT
341,Medea,DZ,77.0,broken clouds,36.26,2.75,Hôtel M'Sallah
342,Sao Jose Da Coroa Grande,BR,75.4,few clouds,-8.9,-35.15,Crôa Mares Hotel
347,Anamur,TR,75.2,clear sky,36.08,32.84,Luna Piena Beach Hotel
354,Mitsamiouli,KM,77.52,clear sky,-11.38,43.28,Foyer ADM
356,Kanalion,GR,78.8,clear sky,39.61,19.89,Argo Hotel
358,Islamkot,PK,85.19,broken clouds,24.7,70.18,Ghazi Guest House
361,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
362,Kovur,IN,85.19,moderate rain,14.48,79.98,Pleasant Stay
365,Cam Ranh,VN,80.6,few clouds,11.92,109.16,OYO 598 Peony Hotel
366,Sombrerete,MX,78.57,scattered clouds,23.63,-103.65,Hotel Conde del Jaral
367,Creston,US,82.4,scattered clouds,41.06,-94.36,Supertel Inn & Conference Center
372,Shetpe,KZ,84.42,clear sky,44.17,52.12,Rtsm Shetpe Analog
375,Rumford,US,80.01,clear sky,44.55,-70.55,coastal rentals llc
382,Los Algarrobos,PA,84.2,scattered clouds,8.5,-82.43,Waterfall Hostel
385,Matara,LK,79.09,overcast clouds,5.95,80.54,Amaloh Boutique Resort
388,Broome,US,82.99,scattered clouds,42.25,-75.83,Chenango Valley State Park
390,Long Beach,US,84.99,clear sky,33.77,-118.19,The Westin Long Beach
391,Koungou,YT,75.2,clear sky,-12.73,45.2,Villa Netibor
394,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
398,Champerico,GT,87.8,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
