City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
72,Yellowknife,CA,2020-07-12 21:10:53,62.46,-114.35,66.2,59,75,8.05,broken clouds,0,0
73,Workington,GB,2020-07-12 21:15:52,54.64,-3.54,59.0,70,96,5.99,overcast clouds,0,0
74,Guerrero Negro,MX,2020-07-12 21:15:05,27.98,-114.06,87.15,29,0,17.4,clear sky,0,0
75,Maryborough,AU,2020-07-12 21:15:52,-25.53,152.7,60.01,90,100,5.01,moderate rain,0,0
76,Bela,IN,2020-07-12 21:15:52,25.93,81.98,88.12,63,53,8.86,broken clouds,0,0
77,Viedma,AR,2020-07-12 21:11:04,-40.81,-63.0,43.12,59,0,15.61,clear sky,0,0
78,Oliveira Dos Brejinhos,BR,2020-07-12 21:11:05,-12.32,-42.9,76.32,31,0,3.11,clear sky,0,0
79,Lao Cai,VN,2020-07-12 21:15:53,22.48,103.95,75.25,85,100,0.92,overcast clouds,0,0
80,Kavieng,PG,2020-07-12 21:15:53,-2.57,150.8,82.36,71,98,3.4,overcast clouds,0,0
81,Sabang,ID,2020-07-12 21:15:54,5.89,95.32,82.35,74,100,6.82,overcast clouds,0,0
82,Tromso,NO,2020-07-12 21:15:44,69.65,18.96,51.8,87,75,5.82,shower rain,0,0
83,Saint-Philippe,RE,2020-07-12 21:15:55,-21.36,55.77,66.2,68,27,4.7,light rain,0,0
84,Tshikapa,CD,2020-07-12 21:15:56,-6.42,20.8,75.6,63,34,1.7,scattered clouds,0,0
85,Odessa,UA,2020-07-12 21:15:56,46.48,30.73,66.2,82,40,31.32,thunderstorm,0,0
86,Zaysan,KZ,2020-07-12 21:11:58,47.47,84.87,61.66,52,5,9.6,clear sky,0,0
87,Petukhovo,RU,2020-07-12 21:15:57,55.07,67.9,61.03,76,0,3.76,clear sky,0,0
88,Acapulco,MX,2020-07-12 21:15:57,16.86,-99.89,87.8,70,75,4.7,broken clouds,0,0
89,Khotiv,UA,2020-07-12 21:15:57,50.33,30.47,62.01,87,75,13.42,broken clouds,0,0
90,Cacu,BR,2020-07-12 21:11:17,-18.56,-51.13,77.88,42,100,0.81,overcast clouds,0,0
91,Hermanus,ZA,2020-07-12 21:15:57,-34.42,19.23,55.99,76,1,20.0,clear sky,0,0
92,Kalevala,RU,2020-07-12 21:15:58,65.2,31.17,51.08,81,18,4.92,few clouds,0,0
93,Bambous Virieux,MU,2020-07-12 21:11:16,-20.34,57.76,71.6,73,20,14.99,few clouds,0,0
94,Mataura,NZ,2020-07-12 21:15:58,-46.19,168.86,39.0,83,90,3.0,overcast clouds,0,0
95,Gardez,AF,2020-07-12 21:15:58,33.6,69.23,60.75,66,1,4.54,clear sky,0,0
96,Vagur,FO,2020-07-12 21:15:58,61.47,-6.81,52.25,89,100,16.35,overcast clouds,0,0
97,Mount Isa,AU,2020-07-12 21:13:25,-20.73,139.5,46.4,61,0,9.17,clear sky,0,0
98,Bredasdorp,ZA,2020-07-12 21:15:59,-34.53,20.04,50.0,61,0,4.7,clear sky,0,0
99,Berlevag,NO,2020-07-12 21:15:59,70.86,29.09,46.4,87,75,5.82,broken clouds,0,0
100,Cape Town,ZA,2020-07-12 21:15:00,-33.93,18.42,57.99,76,75,29.97,moderate rain,0,0
101,Longyearbyen,SJ,2020-07-12 21:14:54,78.22,15.64,46.4,75,75,1.12,broken clouds,0,0
102,Moose Factory,CA,2020-07-12 21:15:59,51.26,-80.61,55.4,93,90,3.36,overcast clouds,0,0
103,Augustdorf,DE,2020-07-12 21:16:01,51.91,8.73,59.0,62,97,4.7,overcast clouds,0,0
104,Troitsko-Pechorsk,RU,2020-07-12 21:16:02,62.71,56.2,55.85,76,18,7.31,few clouds,0,0
105,Kalaleh,IR,2020-07-12 21:16:02,37.38,55.49,77.0,69,20,3.94,few clouds,0,0
106,Punta Arenas,CL,2020-07-12 21:12:17,-53.15,-70.92,37.4,74,75,21.92,broken clouds,0,0
107,Port Alfred,ZA,2020-07-12 21:16:03,-33.59,26.89,58.64,36,0,11.36,clear sky,0,0
108,Albany,US,2020-07-12 21:16:03,42.6,-73.97,90.0,38,8,9.15,clear sky,0,0
109,Chuy,UY,2020-07-12 21:11:22,-33.7,-53.46,48.54,72,10,8.97,clear sky,0,0
110,Chernyshevskiy,RU,2020-07-12 21:16:03,63.01,112.47,56.23,81,9,2.95,clear sky,0,0
111,Loa Janan,ID,2020-07-12 21:16:03,-0.58,117.09,72.68,98,100,2.08,light rain,0,0
112,Saint George,US,2020-07-12 21:11:44,37.1,-113.58,109.0,13,1,26.4,clear sky,0,0
113,Tura,IN,2020-07-12 21:16:05,25.52,90.22,74.35,97,87,6.17,moderate rain,0,0
114,Oranjemund,NA,2020-07-12 21:12:32,-28.55,16.43,55.29,78,0,10.74,clear sky,0,0
115,Mahebourg,MU,2020-07-12 21:15:06,-20.41,57.7,71.6,78,40,13.87,scattered clouds,0,0
116,Junction City,US,2020-07-12 21:16:06,39.03,-96.83,89.6,40,1,9.17,clear sky,0,0
117,Rancho Mirage,US,2020-07-12 21:16:06,33.74,-116.41,118.4,11,1,9.17,clear sky,0,0
118,Kapaa,US,2020-07-12 21:16:06,22.08,-159.32,80.6,74,75,18.34,light rain,0,0
119,Kahului,US,2020-07-12 21:16:07,20.89,-156.47,89.6,43,40,25.28,scattered clouds,0,0
120,Aquiraz,BR,2020-07-12 21:16:07,-3.9,-38.39,78.8,74,59,9.17,light rain,0,0
121,Filadelfia,US,2020-07-12 21:11:59,39.95,-75.16,91.0,35,40,16.11,scattered clouds,0,0
122,Makakilo City,US,2020-07-12 21:14:27,21.35,-158.09,87.8,45,1,10.29,clear sky,0,0
123,Trairi,BR,2020-07-12 21:16:07,-3.28,-39.27,77.54,79,75,12.01,light rain,0,0
124,Barcelos,PT,2020-07-12 21:15:26,41.54,-8.62,82.0,50,0,6.93,clear sky,0,0
125,Svetlaya,RU,2020-07-12 21:16:08,46.54,138.33,59.02,83,81,2.01,broken clouds,0,0
126,Meulaboh,ID,2020-07-12 21:12:41,4.14,96.13,76.26,84,100,4.59,overcast clouds,0,0
127,Kaitangata,NZ,2020-07-12 21:15:19,-46.28,169.85,39.99,77,6,5.99,clear sky,0,0
128,Palmer,US,2020-07-12 21:13:05,42.16,-72.33,88.0,45,40,13.87,scattered clouds,0,0
129,Vaini,TO,2020-07-12 21:14:33,-21.2,-175.2,71.6,78,40,17.22,scattered clouds,0,0
130,Provideniya,RU,2020-07-12 21:14:52,64.38,-173.3,48.2,81,20,8.95,mist,0,0
131,Saint Anthony,US,2020-07-12 21:16:09,45.02,-93.22,84.2,37,20,6.93,few clouds,0,0
132,Namatanai,PG,2020-07-12 21:16:09,-3.67,152.43,75.92,90,100,8.95,moderate rain,0,0
133,Saint-Gaudens,FR,2020-07-12 21:16:10,43.08,0.67,66.2,93,80,3.36,light rain,0,0
134,Marfino,RU,2020-07-12 21:16:10,55.7,37.38,62.01,82,75,6.71,broken clouds,0,0
135,Flinders,AU,2020-07-12 21:15:08,-34.58,150.86,46.99,89,86,1.99,overcast clouds,0,0
136,Launceston,AU,2020-07-12 21:16:10,-41.45,147.17,39.0,93,0,6.93,clear sky,0,0
137,Charters Towers,AU,2020-07-12 21:15:25,-20.1,146.27,54.61,41,56,12.53,broken clouds,0,0
138,Koundara,GN,2020-07-12 21:16:10,12.48,-13.3,74.37,96,100,6.8,moderate rain,0,0
139,Rawson,AR,2020-07-12 21:16:11,-43.3,-65.1,43.52,57,0,21.3,clear sky,0,0
140,Ust-Tsilma,RU,2020-07-12 21:13:25,65.44,52.15,55.78,91,86,8.72,light rain,0,0
141,Pimentel,PE,2020-07-12 21:16:11,-6.84,-79.93,68.0,68,20,17.22,few clouds,0,0
142,Castro,BR,2020-07-12 21:16:11,-24.79,-50.01,62.22,74,4,7.76,clear sky,0,0
143,Saldanha,ZA,2020-07-12 21:16:11,-33.01,17.94,57.2,82,33,23.04,scattered clouds,0,0
144,Arrecife,ES,2020-07-12 21:16:11,28.96,-13.55,73.4,78,20,19.46,few clouds,0,0
145,Hamilton,US,2020-07-12 21:16:11,39.18,-84.53,84.0,54,75,8.05,broken clouds,0,0
146,Torbay,CA,2020-07-12 21:12:18,47.67,-52.73,63.0,77,75,14.99,broken clouds,0,0
147,Lasa,IT,2020-07-12 21:16:12,46.62,10.7,59.0,72,5,3.36,clear sky,0,0
148,Talnakh,RU,2020-07-12 21:12:33,69.49,88.4,53.6,93,75,11.18,broken clouds,0,0
149,Martapura,ID,2020-07-12 21:16:13,-3.42,114.85,72.97,97,71,1.16,light rain,0,0
150,Namibe,AO,2020-07-12 21:16:14,-15.2,12.15,63.03,81,1,6.53,clear sky,0,0
151,Serabu,SL,2020-07-12 21:16:14,7.8,-12.05,72.57,93,98,3.36,overcast clouds,0,0
152,Bengkulu,ID,2020-07-12 21:12:19,-3.8,102.27,74.35,90,51,3.74,broken clouds,0,0
153,Elblag,PL,2020-07-12 21:16:15,54.15,19.41,55.0,100,9,7.52,clear sky,0,0
154,Tiznit,MA,2020-07-12 21:16:15,29.58,-9.5,85.98,33,99,0.89,overcast clouds,0,0
155,Victoria,HK,2020-07-12 21:14:35,22.29,114.16,84.0,79,17,3.0,few clouds,0,0
156,Walvis Bay,NA,2020-07-12 21:12:37,-22.96,14.51,55.0,93,0,4.7,clear sky,0,0
157,Sisimiut,GL,2020-07-12 21:12:42,66.94,-53.67,52.92,57,78,14.76,broken clouds,0,0
158,Ahuimanu,US,2020-07-12 21:16:17,21.44,-157.84,84.2,61,20,16.11,few clouds,0,0
159,Cururupu,BR,2020-07-12 21:16:17,-1.83,-44.87,77.34,83,43,2.64,scattered clouds,0,0
160,Lazaro Cardenas,MX,2020-07-12 21:12:40,17.96,-102.2,86.23,68,96,9.98,light rain,0,0
161,Sitka,US,2020-07-12 21:12:30,57.05,-135.33,57.2,76,75,5.82,broken clouds,0,0
