City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Mar Del Plata,AR,2020-07-11 22:19:18,-38.0,-57.56,52.0,61,57,12.75
117,Jamestown,US,2020-07-11 22:19:14,42.1,-79.24,71.01,93,90,14.99
118,Tikhvin,RU,2020-07-11 22:26:11,59.65,33.53,55.35,72,8,12.26
119,Ust-Kulom,RU,2020-07-11 22:26:11,61.69,53.69,57.67,74,55,4.97
120,Dois Vizinhos,BR,2020-07-11 22:26:11,-25.73,-53.06,62.38,92,78,2.66
121,Luderitz,NA,2020-07-11 22:25:09,-26.65,15.16,51.8,87,0,4.7
122,New Plymouth,NZ,2020-07-11 22:26:12,-39.07,174.08,55.0,86,22,11.01
123,Boa Vista,BR,2020-07-11 22:26:12,2.82,-60.67,80.6,83,20,3.36
124,Talnakh,RU,2020-07-11 22:24:07,69.49,88.4,46.4,100,90,11.18
125,Buala,SB,2020-07-11 22:22:21,-8.14,159.59,82.09,76,80,6.98
126,Zhezkazgan,KZ,2020-07-11 22:24:57,47.8,67.71,71.73,44,0,9.06
127,Mehamn,NO,2020-07-11 22:25:04,71.04,27.85,46.83,85,100,4.21
128,Bethel,US,2020-07-11 22:24:56,41.37,-73.41,81.0,74,40,5.82
129,Bathsheba,BB,2020-07-11 22:25:01,13.22,-59.52,82.4,78,40,17.22
130,Bambous Virieux,MU,2020-07-11 22:19:27,-20.34,57.76,72.0,73,40,14.99
131,Pevek,RU,2020-07-11 22:19:06,69.7,170.31,49.69,76,88,5.03
132,Zabol,AF,2020-07-11 22:26:04,32.25,67.25,67.71,23,0,5.28
133,Margate,GB,2020-07-11 22:26:15,51.38,1.39,63.0,71,26,5.46
134,Arraial Do Cabo,BR,2020-07-11 22:23:58,-22.97,-42.03,75.2,69,0,13.87
135,Coihaique,CL,2020-07-11 22:23:50,-45.58,-72.07,32.0,95,40,3.36
136,Conde,BR,2020-07-11 22:26:16,-7.26,-34.91,73.4,100,75,8.05
137,Galveston,US,2020-07-11 22:22:54,29.37,-94.97,95.0,70,1,11.41
138,Mananjary,MG,2020-07-11 22:26:17,-21.22,48.33,66.16,86,10,4.76
139,Mutis,CO,2020-07-11 22:26:17,6.23,-77.4,79.45,76,83,3.56
140,Mount Gambier,AU,2020-07-11 22:25:31,-37.83,140.77,42.8,100,90,3.36
141,Damietta,EG,2020-07-11 22:26:17,31.42,31.81,77.0,78,0,9.17
142,Santarem,BR,2020-07-11 22:22:20,-2.44,-54.71,82.4,78,41,5.82
143,Balasheyka,RU,2020-07-11 22:26:18,53.28,48.09,58.75,87,0,7.36
144,Port Hedland,AU,2020-07-11 22:20:01,-20.32,118.57,59.0,26,0,12.75
145,Menzelinsk,RU,2020-07-11 22:26:18,55.73,53.1,62.6,72,0,2.24
146,Katangli,RU,2020-07-11 22:26:18,51.71,143.23,53.01,91,100,4.7
147,Kjopsvik,NO,2020-07-11 22:26:18,68.1,16.37,53.6,71,100,16.11
148,Barrow,US,2020-07-11 22:24:04,71.29,-156.79,35.6,80,90,8.05
149,Lebu,CL,2020-07-11 22:19:35,-37.62,-73.65,50.25,81,91,10.8
150,Cayenne,GF,2020-07-11 22:21:49,4.93,-52.33,82.4,74,20,5.82
151,Vao,NC,2020-07-11 22:26:19,-22.67,167.48,69.75,74,65,19.35
152,Basoko,CD,2020-07-11 22:26:19,1.24,23.62,73.62,88,96,2.53
153,Ziro,IN,2020-07-11 22:26:19,27.63,93.83,59.76,100,100,1.3
154,Hasaki,JP,2020-07-11 22:20:01,35.73,140.83,81.0,83,75,4.7
155,Corbu,RO,2020-07-11 22:26:20,44.38,28.65,68.0,68,0,4.7
156,Praia,CV,2020-07-11 22:22:59,14.92,-23.51,77.0,73,75,13.87
157,Bahia Blanca,AR,2020-07-11 22:26:20,-38.72,-62.27,46.27,58,100,18.23
158,Cravo Norte,CO,2020-07-11 22:26:20,6.3,-70.2,75.56,90,100,2.62
159,Mount Isa,AU,2020-07-11 22:23:14,-20.73,139.5,53.6,46,0,14.99
160,Kapaa,US,2020-07-11 22:21:37,22.08,-159.32,80.6,78,90,14.99
161,Ribeira Brava,PT,2020-07-11 22:26:21,32.65,-17.07,70.0,68,0,3.0
162,Hobyo,SO,2020-07-11 22:26:21,5.35,48.53,78.98,78,86,30.49
163,Toguchin,RU,2020-07-11 22:26:21,55.24,84.39,55.74,86,0,2.04
164,Severnyy,RU,2020-07-11 22:26:21,50.68,36.55,66.2,59,0,6.71
165,Pimenta Bueno,BR,2020-07-11 22:26:22,-11.67,-61.19,79.74,51,2,1.9
166,Champasak,LA,2020-07-11 22:26:22,14.75,106.0,74.1,99,100,3.4
167,Kaduqli,SD,2020-07-11 22:26:23,11.02,29.72,80.71,64,90,5.19
168,Ribeira Grande,PT,2020-07-11 22:24:02,38.52,-28.7,69.57,85,44,11.43
169,Cockburn Town,TC,2020-07-11 22:26:07,21.46,-71.14,86.0,70,40,11.41
170,Hay River,CA,2020-07-11 22:26:23,60.82,-115.8,66.2,77,75,13.87
171,Port Hardy,CA,2020-07-11 22:25:26,50.7,-127.42,55.4,100,75,6.93
172,Vorsma,RU,2020-07-11 22:26:24,55.99,43.27,62.6,77,10,2.24
173,Norman Wells,CA,2020-07-11 22:24:05,65.28,-126.83,57.2,71,90,10.29
174,Soto,AR,2020-07-11 22:26:25,-32.81,-61.4,53.6,34,100,4.7
175,Dikson,RU,2020-07-11 22:24:01,73.51,80.55,41.88,99,100,14.97
176,Misratah,LY,2020-07-11 22:26:25,32.38,15.09,76.24,78,0,7.45
177,Hofn,IS,2020-07-11 22:25:08,64.25,-15.21,52.77,80,26,3.71
178,Saint-Pierre,RE,2020-07-11 22:26:25,-21.34,55.48,66.2,77,27,6.93
179,Kanashevo,RU,2020-07-11 22:26:25,55.22,62.06,68.0,77,0,6.71
180,Hoquiam,US,2020-07-11 22:25:43,46.98,-123.89,62.6,72,90,11.41
181,Saskylakh,RU,2020-07-11 22:23:51,71.92,114.08,67.91,75,52,12.75
182,Alcudia,ES,2020-07-11 22:26:27,39.85,3.12,75.2,60,0,6.93
183,Boyolangu,ID,2020-07-11 22:26:27,-8.12,111.89,74.84,89,98,6.2
184,Avera,US,2020-07-11 22:25:11,33.19,-82.53,93.99,46,75,9.17
185,Torbay,CA,2020-07-11 22:23:57,47.67,-52.73,68.0,68,90,10.29
186,Esperance,AU,2020-07-11 22:24:18,-33.87,121.9,39.2,93,0,12.75
187,Sao Paulo De Olivenca,BR,2020-07-11 22:26:27,-3.38,-68.87,78.37,93,68,0.96
188,Olafsvik,IS,2020-07-11 22:19:19,64.89,-23.71,51.53,90,100,16.53
189,Lengshuitan,CN,2020-07-11 22:26:28,26.41,111.6,76.37,87,100,4.5
190,Vardo,NO,2020-07-11 22:26:28,70.37,31.11,47.32,89,24,12.41
191,Faanui,PF,2020-07-11 22:24:02,-16.48,-151.75,78.28,76,23,17.9
192,Bar Harbor,US,2020-07-11 22:24:58,44.39,-68.2,69.8,94,90,5.82
193,Lebanon,US,2020-07-11 22:21:39,36.21,-86.29,91.0,43,20,13.87
194,Carnarvon,AU,2020-07-11 22:23:58,-24.87,113.63,55.4,30,0,11.41
195,Cabo San Lucas,MX,2020-07-11 22:21:12,22.89,-109.91,91.99,49,5,14.99
196,Andenes,NO,2020-07-11 22:26:30,69.31,16.12,53.6,81,44,5.82
197,Sereflikochisar,TR,2020-07-11 22:26:30,38.94,33.54,71.37,53,0,8.37
198,Susanville,US,2020-07-11 22:26:30,40.42,-120.65,93.2,9,1,17.22
199,Ancud,CL,2020-07-11 22:23:53,-41.87,-73.82,42.01,93,40,3.36
200,Beringovskiy,RU,2020-07-11 22:26:32,63.05,179.32,48.94,85,100,3.44
201,Fare,PF,2020-07-11 22:26:32,-16.7,-151.02,78.69,73,4,18.99
202,Pangnirtung,CA,2020-07-11 22:26:32,66.15,-65.71,53.01,53,85,2.44
203,Karasjok,NO,2020-07-11 22:26:32,69.47,25.51,48.2,81,99,5.82
204,Sao Joao Da Barra,BR,2020-07-11 22:25:02,-21.64,-41.05,73.4,73,3,13.87
205,Bay Roberts,CA,2020-07-11 22:24:42,47.6,-53.26,66.0,67,90,8.52
206,Kerema,PG,2020-07-11 22:26:33,-7.96,145.78,77.85,84,79,6.02
207,Biloela,AU,2020-07-11 22:26:33,-24.42,150.5,59.74,77,17,1.5
208,Pokhara,NP,2020-07-11 22:26:33,28.23,83.98,71.2,82,81,1.61
209,Viedma,AR,2020-07-11 22:24:43,-40.81,-63.0,44.92,56,74,17.16
210,Bontang,ID,2020-07-11 22:26:33,0.13,117.5,76.86,87,100,4.38
211,Haines Junction,CA,2020-07-11 22:20:21,60.75,-137.51,60.12,46,100,7.07
212,Osmanabad,IN,2020-07-11 22:26:33,18.17,76.05,74.95,87,100,10.96
213,Sumbe,AO,2020-07-11 22:26:33,-11.21,13.84,69.87,85,71,4.83
214,Diamantino,BR,2020-07-11 22:21:47,-14.41,-56.45,78.8,43,28,2.68
215,Kahului,US,2020-07-11 22:26:34,20.89,-156.47,89.6,43,40,24.16
216,La Tuque,CA,2020-07-11 22:26:34,47.43,-72.78,69.15,97,98,2.42
217,Hoi An,VN,2020-07-11 22:26:34,15.88,108.33,77.0,83,20,3.36
218,Cidreira,BR,2020-07-11 22:25:24,-30.18,-50.21,56.53,85,100,5.91
219,Vila Franca Do Campo,PT,2020-07-11 22:26:35,37.72,-25.43,69.8,68,40,5.82
220,Saint George,US,2020-07-11 22:24:02,37.1,-113.58,107.01,12,1,14.99
221,The Valley,AI,2020-07-11 22:26:35,18.22,-63.06,84.2,78,40,13.87
222,Vaitape,PF,2020-07-11 22:26:35,-16.52,-151.75,79.11,74,23,17.69
223,Port Blair,IN,2020-07-11 22:24:09,11.67,92.75,82.09,81,100,10.02
224,Lhokseumawe,ID,2020-07-11 22:26:35,5.18,97.15,76.68,83,100,6.08
225,Husavik,IS,2020-07-11 22:24:43,66.04,-17.34,53.6,76,90,4.7
226,Vila Velha,BR,2020-07-11 22:20:20,-20.33,-40.29,70.0,83,0,4.7
227,Guiratinga,BR,2020-07-11 22:26:36,-16.35,-53.76,76.96,41,1,4.45
228,Narsaq,GL,2020-07-11 22:24:56,60.92,-46.05,55.4,82,23,5.82
229,Wanning,CN,2020-07-11 22:26:36,18.8,110.4,81.72,88,82,12.5
230,Grants,US,2020-07-11 22:26:36,35.15,-107.85,96.8,7,1,5.82
231,Chokurdakh,RU,2020-07-11 22:24:44,70.63,147.92,58.12,58,74,7.72
232,Bulgan,MN,2020-07-11 22:26:36,48.81,103.53,57.27,75,97,2.33
233,Namatanai,PG,2020-07-11 22:25:32,-3.67,152.43,81.34,80,52,6.76
234,Aksu,CN,2020-07-11 22:24:29,41.12,80.26,70.95,45,23,5.21
235,Tucurui,BR,2020-07-11 22:26:37,-3.77,-49.67,76.33,86,30,3.02
236,Panjakent,TJ,2020-07-11 22:26:37,39.5,67.61,68.0,77,90,2.24
237,Caravelas,BR,2020-07-11 22:26:37,-17.71,-39.25,71.42,83,0,4.41
238,Aklavik,CA,2020-07-11 22:26:37,68.22,-135.01,59.0,47,40,5.82
239,Opuwo,NA,2020-07-11 22:26:38,-18.06,13.84,51.24,42,0,6.35
240,Port Hawkesbury,CA,2020-07-11 22:25:18,45.62,-61.35,66.0,100,90,9.17
241,Ulladulla,AU,2020-07-11 22:24:54,-35.35,150.47,48.99,93,79,5.82
242,Chippewa Falls,US,2020-07-11 22:25:01,44.94,-91.39,82.4,42,1,5.82
243,Constitucion,CL,2020-07-11 22:19:37,-35.33,-72.42,49.89,70,96,5.73
244,Labuan,MY,2020-07-11 22:26:39,5.28,115.24,77.0,94,20,5.32
245,Mahuva,IN,2020-07-11 22:26:40,21.09,71.76,83.61,78,70,14.56
246,Gornopravdinsk,RU,2020-07-11 22:26:40,60.05,69.9,61.56,80,4,10.8
247,Brigantine,US,2020-07-11 22:26:40,39.41,-74.36,84.2,70,1,11.41
248,Qaqortoq,GL,2020-07-11 22:24:04,60.72,-46.03,55.4,82,31,5.82
249,Baft,IR,2020-07-11 22:26:40,29.23,56.61,69.6,25,4,3.71
250,Davila,PH,2020-07-11 22:26:41,18.47,120.58,77.0,100,40,3.36
251,Savannah Bight,HN,2020-07-11 22:26:41,16.45,-85.85,82.87,79,23,21.41
252,Sangar,RU,2020-07-11 22:26:41,63.92,127.47,68.94,70,27,14.76
253,Goderich,CA,2020-07-11 22:24:35,43.75,-81.72,77.0,71,100,14.79
254,Ixtapa,MX,2020-07-11 22:26:42,20.7,-105.2,89.6,66,90,10.29
255,Atar,MR,2020-07-11 22:26:43,20.52,-13.05,92.68,27,0,3.51
256,Mantua,IT,2020-07-11 22:26:43,45.17,10.78,68.0,91,7,3.0
257,Novoagansk,RU,2020-07-11 22:23:57,61.94,76.66,59.45,95,79,6.15
